ts,eid,look,mob,zone,gear,hp_total,swings,last_dmg,bar_max,clean,level,exp
1785302510775,838173,185,,,,28,1,28,0,1,,78
1785302511775,838174,185,,,,84,1,84,0,1,,78
1785302514317,838172,185,,,,29,1,29,0,1,,78
1785302515323,838176,185,,,,26,1,26,0,1,,78
1785303044539,77632,,,,,14,2,8,33,0,,21
1785303201196,41319,25,,,,28,1,28,0,1,,10
1785303399210,41364,519,,,,890,33,21,94,1,,384
1785303715567,62609,,,,,1117,44,21,95,0,,384
1785304833029,849745,,,,,876,32,22,95,0,,384
1785304984194,41358,519,,,,972,40,21,95,1,,384
1785305046280,41362,519,,,,945,40,20,97,1,,384
1785305094833,838475,185,,,,31,1,31,0,1,,75
1785305096832,838478,185,,,,30,1,30,0,1,,75
1785305097835,838481,185,,,,26,1,26,0,1,,75
1785305099836,838474,185,,,,29,1,29,0,1,,75
1785305102336,838482,185,,,,31,1,31,0,1,,75
1785305103839,838783,185,,,,27,1,27,0,1,,75
1785305106845,838477,185,,,,26,1,26,0,1,,75
1785305107845,838784,185,,,,29,1,29,0,1,,75
1785305108341,838479,185,,,,31,1,31,0,1,,75
1785305109345,838782,185,,,,29,1,29,0,1,,75
1785305112344,838707,185,,,,27,1,27,0,1,,75
1785305113848,838476,185,,,,30,1,30,0,1,,75
1785305119352,838483,185,,,,31,1,31,0,1,,75
1785305121353,860674,185,,,,29,1,29,0,1,,75
1785305122357,860678,185,,,,26,1,26,0,1,,75
1785305123356,860671,185,,,,93,1,93,0,1,,75
1785305124361,860675,185,,,,27,1,27,0,1,,75
1785305125361,860676,185,,,,28,1,28,0,1,,75
1785305741041,860673,185,,,,56,1,56,0,1,,75
1785305745050,860724,185,,,,29,1,29,0,1,,75
1785305746550,860725,185,,,,27,1,27,0,1,,75
1785305751052,864389,185,,,,29,1,29,0,1,,75
1785305752053,860815,185,,,,26,1,26,0,1,,75
1785305753554,860817,185,,,,26,1,26,0,1,,75
1785305755557,860818,185,,,,31,1,31,0,1,,75
1785305758059,860679,185,,,,30,1,30,0,1,,75
1785305759557,860677,185,,,,29,1,29,0,1,,75
1785305761561,860726,185,,,,26,1,26,0,1,,75
1785305762561,865455,185,,,,26,1,26,0,1,,75
1785305764067,860672,185,,,,78,1,78,0,1,,75
1785305764563,860816,185,,,,29,1,29,0,1,,75
1785305765564,860727,185,,,,90,1,90,0,1,,75
1785305766564,860729,185,,,,29,1,29,0,1,,75
1785305769066,863527,185,,,,29,1,29,0,1,,75
1785305771067,865456,185,,,,30,1,30,0,1,,75
1785305772069,865453,185,,,,31,1,31,0,1,,75
1785305778076,860728,185,,,,27,1,27,0,1,,75
1785305784082,865454,185,,,,29,1,29,0,1,,75
1785305794099,834284,185,,,,29,1,29,0,1,,75
1785305812614,865543,185,,,,30,1,30,0,1,,75
1785305815116,865548,185,,,,31,1,31,0,1,,75
1785305816115,865546,185,,,,93,1,93,0,1,,75
1785305817116,865545,185,,,,27,1,27,0,1,,75
1785305820126,865540,185,,,,26,1,26,0,1,,75
1785305820625,865574,185,,,,27,1,27,0,1,,75
1785305823626,865541,185,,,,30,1,30,0,1,,75
1785305826131,865549,185,,,,30,1,30,0,1,,75
1785305828133,865573,185,,,,31,1,31,0,1,,75
1785305829637,865547,185,,,,30,1,30,0,1,,75
1785305831143,865571,185,,,,30,1,30,0,1,,75
1785305834650,865570,185,,,,28,1,28,0,1,,75
1785305839149,865575,185,,,,27,1,27,0,1,,75
1785305842152,865544,185,,,,28,1,28,0,1,,75
1785305944263,865542,185,,,,52,1,52,0,1,,75
1785305946262,865777,185,,,,31,1,31,0,1,,75
1785305958777,865572,185,,,,26,1,26,0,1,,75
1785305959277,865776,185,,,,29,1,29,0,1,,75
1785305962283,865774,185,,,,28,1,28,0,1,,75
1785305967788,865773,185,,,,27,1,27,0,1,,75
1785305970792,865778,185,,,,27,1,27,0,1,,75
1785305971788,865770,185,,,,30,1,30,0,1,,75
1785305972788,865772,185,,,,30,1,30,0,1,,75
1785305973789,865775,185,,,,81,1,81,0,1,,75
1785305975291,866610,185,,,,31,1,31,0,1,,75
1785305976793,865771,185,,,,28,1,28,0,1,,75
1785305978295,866609,185,,,,81,1,81,0,1,,75
1785305981298,866612,185,,,,26,1,26,0,1,,75
1785305982798,866611,185,,,,29,1,29,0,1,,75
1785305984302,865808,185,,,,28,1,28,0,1,,75
1785306760149,838181,185,,,,27,1,27,0,1,,75
1785306762654,616231,185,,,,29,1,29,0,1,,75
1785306766659,718679,185,,,,29,1,29,0,1,,75
1785306786175,868532,185,,,,30,1,30,0,1,,75
1785306787176,866688,185,,,,29,1,29,0,1,,75
1785306791178,866792,185,,,,27,1,27,0,1,,75
1785306791689,866717,185,,,,26,1,26,0,1,,75
1785306792178,866687,185,,,,26,1,26,0,1,,75
1785306793697,866716,185,,,,31,1,31,0,1,,75
1785306794689,866718,185,,,,30,1,30,0,1,,75
1785306799184,866683,185,,,,31,1,31,0,1,,75
1785306800187,866691,185,,,,27,1,27,0,1,,75
1785306800693,866684,185,,,,31,1,31,0,1,,75
1785306803696,866690,185,,,,27,1,27,0,1,,75
1785306804693,866686,185,,,,29,1,29,0,1,,75
1785306806190,866685,185,,,,26,1,26,0,1,,75
1785306808192,872287,185,,,,26,1,26,0,1,,75
1785306809701,866793,185,,,,29,1,29,0,1,,75
1785306810699,872283,185,,,,30,1,30,0,1,,75
1785306812706,872298,185,,,,31,1,31,0,1,,75
1785306814704,866689,185,,,,28,1,28,0,1,,75
1785306816199,872284,185,,,,29,1,29,0,1,,75
1785306818706,872285,185,,,,27,1,27,0,1,,75
1785306824213,872286,185,,,,26,1,26,0,1,,75
1785306833727,834215,185,,,,28,1,28,0,1,,75
1785306837227,872297,185,,,,30,1,30,0,1,,75
1785306843885,872636,185,,,,26,1,26,0,1,,75
1785306846885,872634,185,,,,31,1,31,0,1,,75
1785306847895,872633,185,,,,84,1,84,0,1,,75
1785306849382,872632,185,,,,29,1,29,0,1,,75
1785306851904,872628,185,,,,26,1,26,0,1,,75
1785306855393,872697,185,,,,29,1,29,0,1,,75
1785306855904,872696,185,,,,30,1,30,0,1,,75
1785306858397,872635,185,,,,26,1,26,0,1,,75
1785306859900,872631,185,,,,31,1,31,0,1,,75
1785306884426,872758,185,,,,29,1,29,0,1,,75
1785306885938,872759,185,,,,28,1,28,0,1,,75
1785306888429,872756,185,,,,29,1,29,0,1,,75
1785306890432,872629,185,,,,27,1,27,0,1,,75
1785306891948,872630,185,,,,28,1,28,0,1,,75
1785306894436,872761,185,,,,26,1,26,0,1,,75
1785306897952,873022,185,,,,26,1,26,0,1,,75
1785306900446,873021,185,,,,27,1,27,0,1,,75
1785306903475,873019,185,,,,27,1,27,0,1,,75
1785306905081,872755,185,,,,26,1,26,0,1,,75
1785306909194,872760,185,,,,26,1,26,0,1,,75
1785306912148,873100,185,,,,29,1,29,0,1,,75
1785306913644,873099,185,,,,28,1,28,0,1,,75
1785306914644,872627,185,,,,29,1,29,0,1,,75
1785306916643,873024,185,,,,28,1,28,0,1,,75
1785306917646,873102,185,,,,27,1,27,0,1,,75
1785306919162,873104,185,,,,31,1,31,0,1,,75
1785306921653,873103,185,,,,26,1,26,0,1,,75
1785306922654,873101,185,,,,29,1,29,0,1,,75
1785306931227,873023,185,,,,30,1,30,0,1,,75
1785306935178,873020,185,,,,31,1,31,0,1,,75
1785306942190,872757,185,,,,27,1,27,0,1,,75
1785366319072,58965,21,,,,64,1,64,0,1,,5
1785366334586,37147,25,,,,64,1,64,0,1,,10
1785366338589,37123,25,,,,30,1,30,0,1,,10
1785366345597,37157,25,,,,60,1,60,0,1,,10
1785366348097,37127,25,,,,32,1,32,0,1,,10
1785366351600,37121,25,,,,32,1,32,0,1,,10
1785366356106,37163,25,,,,60,1,60,0,1,,10
1785366361611,37107,25,,,,56,1,56,0,1,,10
1785366365114,37139,25,,,,62,1,62,0,1,,10
1785366369620,37129,25,,,,64,1,64,0,1,,10
1785366373620,534110,25,,,,60,1,60,0,1,,10
1785366397142,37137,25,,,,62,1,62,0,1,,10
1785366398643,37117,25,,,,29,1,29,0,1,,10
1785366401647,37161,25,,,,54,1,54,0,1,,10
1785366404651,37149,25,,,,28,1,28,0,1,,10
1785366471125,37141,25,,,,32,1,32,0,1,,10
1785366473127,535372,,,,,56,1,56,0,0,,10
1785366522181,526658,,,,,60,1,60,0,0,,10
1785366617285,167027,,,,,200,5,91,81,0,,577
1785366627291,167025,25,,,,188,6,25,67,1,,577
1785366634798,167015,,,,,166,5,29,63,0,,577
1785366639806,167037,25,,,,164,4,26,63,1,,577
1785366655321,167005,25,,,,191,6,29,69,1,,577
1785366663827,167013,25,,,,175,4,25,61,1,,577
1785366668836,167021,25,,,,168,6,29,84,1,,577
1785366676840,167017,25,,,,136,3,26,56,1,,577
1785366690851,167031,25,,,,164,5,30,66,1,,577
1785366695855,167009,25,,,,163,5,28,62,1,,577
1785366760925,58951,21,,,,30,1,30,0,1,,5
1785368412933,58971,21,,,,54,1,54,0,1,,5
1785368415439,58952,21,,,,62,1,62,0,1,,5
1785368420444,58970,21,,,,31,1,31,0,1,,5
1785368427948,533676,21,,,,30,1,30,0,1,,5
1785368432953,58985,21,,,,64,1,64,0,1,,5
1785368442964,93653,21,,,,58,1,58,0,1,,5
1785368445465,58984,21,,,,27,1,27,0,1,,5
1785368450974,58959,21,,,,31,1,31,0,1,,5
1785368463488,58961,21,,,,64,1,64,0,1,,5
1785368471001,58968,21,,,,58,1,58,0,1,,5
1785368477009,58973,21,,,,30,1,30,0,1,,5
1785373377082,424619,25,,,,27,1,27,0,1,,10
1785450784801,59266,25,,,,31,1,31,0,1,,10
1785450790801,59248,25,,,,26,2,18,52,1,,10
1785450796807,59278,25,,,,17,3,9,76,1,,10
1785450809827,530072,25,,,,17,4,4,64,1,,10
1785450818341,250473,25,,,,18,3,4,60,1,,10
1785450852880,59258,25,,,,32,1,32,0,1,,10
1785450862391,471483,89,,,,367,12,27,92,1,,50
1785450885419,59638,89,,,,317,11,27,82,1,,50
1785450925463,59264,25,,,,64,1,64,0,1,,10
1785450948490,59618,88,,,,286,9,25,90,1,,50
1785450974299,250475,25,,,,30,1,30,0,1,,10
1785451245712,59246,25,,,,27,2,14,7,1,,10
1785451249219,59236,25,,,,28,1,28,0,1,,10
1785451255225,250477,25,,,,27,2,14,18,1,,10
1785451259729,59290,25,,,,28,1,28,0,1,,10
1785451262736,59274,25,,,,24,1,24,0,1,,10
1785451264239,531217,25,,,,26,1,26,0,1,,10
1785451268244,59282,25,,,,26,1,26,0,1,,10
1785451268744,59232,25,,,,14,1,14,0,1,,10
1785451271748,59294,25,,,,25,2,13,20,1,,10
1785451273752,59254,25,,,,24,1,24,0,1,,10
1785451279762,537196,25,,,,25,2,13,7,1,,10
1785451281761,59272,25,,,,26,1,26,0,1,,10
1785451283264,59284,25,,,,26,1,26,0,1,,10
1785451303784,532849,88,,,,273,23,12,91,1,,50
1785451341326,359106,25,,,,24,2,12,20,1,,10
1785451344331,59234,25,,,,26,1,26,0,1,,10
1785451346836,537188,25,,,,28,1,28,0,1,,10
1785451354844,59252,25,,,,28,1,28,0,1,,10
1785451357348,537190,25,,,,25,2,12,13,1,,10
1785451359852,532230,25,,,,26,1,26,0,1,,10
1785451363358,59242,25,,,,28,1,28,0,1,,10
1785451365860,537180,25,,,,26,1,26,0,1,,10
1785451368363,537198,25,,,,24,1,24,0,1,,10
1785451371866,59262,25,,,,28,1,28,0,1,,10
1785451374868,359108,25,,,,24,1,24,0,1,,10
1785451376372,531221,25,,,,28,1,28,0,1,,10
1785451379375,59288,25,,,,26,1,26,0,1,,10
1785451381376,537184,25,,,,26,2,14,7,1,,10
1785451385385,537186,25,,,,26,2,13,23,1,,10
1785451386881,531215,25,,,,28,1,28,0,1,,10
1785451389384,537194,25,,,,27,2,14,13,1,,10
1785451390886,537752,25,,,,14,1,14,0,1,,10
1785451393390,531219,25,,,,25,2,12,18,1,,10
1785451397896,537192,25,,,,24,1,24,0,1,,10
1785451430939,532235,89,,,,327,27,12,92,1,,50
1785451576644,538750,89,,,,299,21,37,91,1,,50
1785452231583,538344,25,,,,14,1,14,0,1,,10
1785452238089,537744,25,,,,26,2,13,23,1,,10
1785452270126,540754,89,,,,349,25,12,93,1,,50
1785454707171,548892,89,,,,266,21,10,92,1,,52
1785454858949,537756,25,,,,28,1,28,0,1,,10
1785455616148,532234,89,,,,262,24,12,96,1,,50
1785455645678,59639,89,,,,291,25,11,95,1,,50
1785455677721,576271,89,,,,324,28,11,92,1,,50
1785455705855,583020,89,,,,361,26,37,96,1,,50
1785456377407,59268,25,,,,24,1,24,0,1,,10
1785456383414,59238,25,,,,24,2,12,14,1,,10
1785456624495,37378,451,,,,391,31,11,94,1,,90
1785456813198,587646,89,,,,278,25,11,95,1,,50
1785456935846,532232,25,,,,42,1,42,0,1,,10
1785456940850,538346,25,,,,26,2,12,12,1,,10
1785456947856,546535,25,,,,25,2,13,25,1,,10
1785456953862,538330,25,,,,25,2,13,25,1,,10
1785456956865,538336,25,,,,24,2,12,25,1,,10
1785456961875,537754,25,,,,28,1,28,0,1,,10
1785456963881,537748,25,,,,26,1,26,0,1,,10
1785456965892,538326,25,,,,24,1,24,0,1,,10
1785456970888,537750,25,,,,27,2,13,17,1,,10
1785456975396,600089,25,,,,26,1,26,0,1,,10
1785456977901,594979,25,,,,51,2,39,25,1,,10
1785456982908,538338,25,,,,28,1,28,0,1,,10
1785456990414,537758,25,,,,17,5,4,82,1,,10
1785456994924,538334,25,,,,18,1,18,0,1,,10
1785456998932,575798,25,,,,21,5,9,81,1,,10
1785457005936,600077,25,,,,16,5,3,81,1,,10
1785457008437,538923,25,,,,16,2,8,42,1,,10
1785457013948,537746,25,,,,16,3,4,38,1,,10
1785457018947,59280,25,,,,18,5,3,62,1,,10
1785457487860,600710,,,,,18,5,3,82,0,,10
1785457491367,59250,,,,,16,2,8,42,0,,10
1785457496395,59270,,,,,17,5,3,81,0,,10
1785457498409,600712,25,,,,18,1,18,0,1,,10
1785457506544,59260,,,,,17,5,4,75,0,,10
1785457510592,538332,,,,,16,2,8,46,0,,10
1785457515624,538348,25,,,,14,4,3,78,1,,10
1785457519145,600702,25,,,,14,4,3,69,1,,10
1785457527169,600714,25,,,,19,4,4,52,1,,10
1785457533745,600706,25,,,,14,4,4,78,1,,10
1785457579784,37376,451,,,,362,30,12,96,1,,90
1785458864406,97214,22,,,,192,21,9,19,1,,320
1785476184747,59582,,,,,59,5,11,78,0,,15
1785476184747,59582,,,,,59,5,11,78,0,,15
1785476488896,73400,58,,,,437,44,9,96,1,,262
1785476488896,73400,58,,,,437,44,9,96,1,,262
1785476536447,73247,21,,,,623,29,28,96,1,,84
1785476536447,73247,21,,,,623,29,28,96,1,,84
1785510224293,37542,,,,,64,1,64,0,0,,10
1785510633771,37552,,,,,30,1,30,0,0,,10
1785528389664,337435,,,,,56,1,56,0,0,,10
1785528395168,337437,25,,,,28,1,28,0,1,,10
1785528414183,337443,25,,,,31,1,31,0,1,,10
1785534575563,337445,25,,,,29,1,29,0,1,,10
1785534735946,337441,,,,,56,1,56,0,0,,10
1785545515952,337465,,,,,30,1,30,0,0,,10
1785545535978,337451,25,,,,30,1,30,0,1,,10
1785545683700,337449,,,,,33,1,33,0,0,,10
1785545707732,368358,,,,,33,1,33,0,0,,10
1785545722261,337485,25,,,,56,1,56,0,1,,10
1785545742768,337469,,,,,32,1,32,0,0,,10
1785546283801,644530,,,,,30,1,30,0,0,,10
1785549997635,335821,,,,,66,1,66,0,0,,10
1785552019687,695487,25,,,,31,1,31,0,1,,10
1785552020687,337453,25,,,,31,1,31,0,1,,10
1785552083262,337471,,,,,33,1,33,0,0,,10
1785552097278,335855,25,,,,28,1,28,0,1,,10
1785552110792,337473,25,,,,31,1,31,0,1,,10
1785552118799,335845,25,,,,56,1,56,0,1,,10
1785552141325,337479,25,,,,27,1,27,0,1,,10
1785552153837,335847,25,,,,28,1,28,0,1,,10
1785552422296,337447,,,,,30,1,30,0,0,,10
1785555042302,337463,,,,,31,1,31,0,0,,10
1785555055819,337481,,,,,28,1,28,0,0,,10
1785555168448,715612,,,,,56,1,56,0,0,,10
1785555170951,715804,,,,,28,1,28,0,0,,10
1785556330141,337483,,,,,62,1,62,0,0,,10
1785556373195,459510,,,,,30,1,30,0,0,,10
1785556405725,698523,,,,,28,1,28,0,0,,10
1785556596963,750421,,,,,29,1,29,0,0,,10
1785557160652,719982,,,,,30,1,30,0,0,,10
1785557268771,459512,,,,,30,1,30,0,0,,10
1785557304821,338083,89,,,,161,6,27,40,1,,50
1785558101205,715610,,,,,30,1,30,0,0,,10
1785558365853,765271,,,,,33,1,33,0,0,,10
1785558490694,733824,,,,,4828,58,50,97,0,,
1785568634649,808993,89,,,,357,11,89,90,1,,50
1785569568610,809907,,,,,33,1,33,0,0,,10
1785569578119,811425,,,,,60,1,60,0,0,,10
1785569594641,811785,,,,,322,12,26,90,0,,50
1785569603646,809921,25,,,,56,1,56,0,1,,10
1785569622168,809355,,,,,60,1,60,0,0,,10
1785569692373,519276,,,,,863,36,19,90,0,,320
1785569696377,809925,,,,,31,1,31,0,0,,10
1785569802636,810292,,,,,30,1,30,0,0,,10
1785569807647,809351,,,,,30,1,30,0,0,,10
1785569820662,809151,,,,,324,11,28,82,0,,50
1785569843686,809365,,,,,30,1,30,0,0,,10
1785569847692,809909,,,,,30,1,30,0,0,,10
1785569855698,809915,,,,,28,1,28,0,0,,10
1785569859400,879338,,,,,30,1,30,0,0,,10
1785569882926,811423,,,,,30,1,30,0,0,,10
1785569915451,808310,25,,,,32,1,32,0,1,,10
1785569936974,880637,88,,,,311,6,81,91,1,,50
1785569940979,810300,25,,,,28,1,28,0,1,,10
1785569955490,808316,25,,,,60,1,60,0,1,,10
1785569964004,809913,,,,,60,1,60,0,0,,10
1785569969008,809357,25,,,,32,1,32,0,1,,10
1785569987029,880829,25,,,,33,1,33,0,1,,10
1785570029081,880837,25,,,,31,1,31,0,1,,10
1785570067619,809369,25,,,,54,1,54,0,1,,10
1785570072627,880833,25,,,,28,1,28,0,1,,10
1785570097663,881316,25,,,,30,1,30,0,1,,10
1785570108180,880246,25,,,,174,1,174,0,1,,10
1785570115187,699371,88,,,,350,13,28,91,1,,50
1785570120691,810298,25,,,,33,1,33,0,1,,10
1785570157232,880839,25,,,,64,1,64,0,1,,10
1785570161336,811421,25,,,,29,1,29,0,1,,10
1785570167840,881678,25,,,,28,1,28,0,1,,10
1785570191879,810290,25,,,,28,1,28,0,1,,10
1785570202890,881676,25,,,,29,1,29,0,1,,10
1785570207895,809363,25,,,,30,1,30,0,1,,10
1785570215408,879344,89,,,,317,11,28,83,1,,50
1785570243431,881326,88,,,,293,11,26,89,1,,50
1785570262449,879340,25,,,,31,1,31,0,1,,10
1785570275972,879342,25,,,,31,1,31,0,1,,10
1785570281980,881999,25,,,,62,1,62,0,1,,10
1785570288985,881993,25,,,,180,1,180,0,1,,10
1785570305001,881322,25,,,,60,1,60,0,1,,10
1785570315011,675601,89,,,,208,8,25,51,1,,50
1785570329027,811419,25,,,,62,1,62,0,1,,10
1785570343541,882275,25,,,,62,1,62,0,1,,10
1785599931062,288355,,,,,60,1,60,0,0,,10
1785599937672,37851,,,,,30,1,30,0,0,,10
1785599945688,288351,,,,,28,1,28,0,0,,10
1785599961708,347925,25,,,,29,1,29,0,1,,10
1785599983740,37845,,,,,32,1,32,0,0,,10
1785599985230,58485,88,,,,271,10,26,89,1,,50
1785599986231,37843,,,,,31,1,31,0,0,,10
1785599991240,37871,25,,,,29,1,29,0,1,,10
1785600013269,347927,25,,,,29,1,29,0,1,,10
1785600431946,58447,90,,,,116,2,62,3,1,,15
