MobKey,Loot,RareLoot
crazy_claw,splendid_tiger_pelt:1:1|dark_amber:1:2.5,
crimson_scorpion,dark_amber:1:67,poet_whip:75
cyclone_king,,dark_amber:34|amber:67
cyclone_ogre,amber:1:12.5,
dark_buck,antler:1:34,
dark_fox,fox_fur:1:34,
dark_mantis,,white_amber:1|dark_amber:10
dark_sheep,wool:1:30|white_amber:1:2.5,
dark_snake,fine_snake_meat:1:5|amber:1:2.5,
dark_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
dark_wolf,wolf_pelt:1:15,
death_mongrel,amber:1:2.5,
death_wish,dark_amber:1:34|white_amber:1:17,ice_sabre:34
deep_woods_mantis,GOLD:50:100|amber:1:7.5,
deer,antler:1:50,
diamond_horse,horse_meat:1:34|amber:1:2.5,
diamond_monkey,,white_amber:5|dark_amber:10
dirt_mantis,,steelthorn:8|sen_glove:8
divine_dog,GOLD:1800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_wind:100
divine_dragon,GOLD:2750:100|amber:5:100|dark_amber:3:67|white_amber:1:34,chung_ryong_key:50
divine_horse,GOLD:2700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_thunder:100
divine_monkey,GOLD:1300:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_fire:100
divine_mouse,rat_meat:1:34|amber:1:6,
divine_ox,GOLD:3000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_water:100
divine_pig,GOLD:3700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_mountain:100
divine_rabbit,GOLD:1100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_earth:100
divine_rat,GOLD:2100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_pond:100
divine_rooster,GOLD:1800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_heaven:100
divine_sheep,GOLD:5500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ju_jak_key:50
divine_snake,GOLD:3000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,hyun_moo_key:50
divine_tiger,GOLD:3800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,baekho_key:50
dog_assassin,GOLD:600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,cursed_blade:5|fragile_rose:50
dog_avenger,GOLD:3100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,forsaken_blade:0.834|fragile_rose:50
dog_cutthroat,GOLD:1800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,corrupted_blade:2.5|fragile_rose:50
dog_defender,amber:1:10|white_amber:1:5,forsaken_blade:0.0167|fragile_rose:1
dog_guardian,amber:1:25|white_amber:1:10,corrupted_blade:0.05|fragile_rose:1
dog_sentry,amber:1:15|dark_amber:1:10,cursed_blade:0.1|fragile_rose:1
dog_trooper,amber:1:2.5,
dragon_avenger,GOLD:12000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ee_san_spike:0.834|dragons_liver:50
dragon_defender,dark_amber:1:15|white_amber:1:5,ee_san_spike:0.0167|dragons_liver:1
dragon_guardian,,il_san_spike:0.034|dragons_liver:1
dragon_hatchling,tarnished_amber:1:25,
dragon_mage,GOLD:2400:100|amber:5:100|dark_amber:3:67|white_amber:1:34,spike:5|dragons_liver:50
dragon_sentry,,spike:0.1|dragons_liver:1
dragon_slayer,GOLD:2750:100|amber:5:100|dark_amber:3:67|white_amber:1:34,il_san_spike:1.67|dragons_liver:50
drake,tarnished_amber:1:25,
earth_rat,rat_meat:1:34|amber:1:7.5,
earth_snake,viper_stick:1:5,fine_snake_meat:34|snake_meat:85
elite_horse,horse_meat:1:34|amber:1:2.5,
fast_monkey,dark_amber:1:10,
fat_pig,rare_pork:1:34|dark_amber:1:2.5,
fierce_dog,amber:1:2.5,
fierce_mouse,rat_meat:1:34|ginseng_piece:1:17,
fierce_sheep,wool:1:20|amber:1:2.5,
fiery_chick,,egg:17|chicken_meat:34
fighting_dog,amber:1:2.5,
fire_rat,rat_meat:1:34|amber:1:7.5,
fire_snake,,fine_snake_meat:17|snake_meat:34
fire_snorter,horse_meat:1:34|dark_amber:1:2.5,
flaming_sheep,wool:1:30|white_amber:1:2.5,
fluff,dark_amber:1:10|fine_rabbit_meat:1:25,
flurry_king,,dark_amber:34|amber:67
flurry_ogre,amber:1:10,
forest_mantis,,dark_amber:5|tarnished_amber:17
frost_ogre,tarnished_amber:1:17,
frothing_mutt,dark_amber:1:2.5,
ghost_mantis,,dark_amber:5|tarnished_amber:17
giant_bull,lean_beef:1:34|amber:1:2.5,
giant_centipede,topaz:1:25,
giant_hare,amber:1:7.5|rabbit_meat:1:34,
giant_iron_tiger,tigers_heart:1:45|iron_key:1:5,
giant_mantis,,mountain_ginseng:34|ginseng:67
giant_rabbit,amber:1:8.75,
giant_scorpion,amber:1:5,
giant_spider,amber:1:5,
giant_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
gimyi,,iron_sword:75|iron_statue:50
glowing_snake,fine_snake_meat:1:5|amber:1:2.5,
golden_hare,amber:1:7.5|rabbit_meat:1:34,
golden_horse,horse_meat:1:34|amber:1:2.5,
golden_lobster,yellow_amber:1:100,jolt_trident:34
golden_rabbit,amber:1:8.75,
golden_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
great_horns,lean_beef:1:34|amber:1:2.5,
great_roost,dark_amber:1:5,egg:17|chicken_meat:34
great_wyrm,tarnished_amber:1:25,
green_squirrel,acorn:1:50|acorn:2:33|acorn:3:15|acorn:50:1|gold_acorn:1:3|green_squirrel_pelt:1:5,
grim_ogre,GOLD:50:100|amber:1:5,
hail_king,flamefang:1:34,dark_amber:34|amber:67
hail_ogre,amber:1:5,
hare,rabbit_meat:1:67,
hare_witch,GOLD:500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,star_helm:5|lucky_coin:50
hill_ogre,,dark_amber:5|tarnished_amber:17
hooves,dark_amber:1:10,flameblade:0.002|pearl_charm:1
hop,dark_amber:1:8.5|fine_rabbit_meat:1:25,
horse_avenger,GOLD:4500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,flameblade:0.1|pearl_charm:50
horse_chongun,GOLD:2700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,mythic_sabre:0.4|pearl_charm:50
horse_defender,dark_amber:1:10,flameblade:0.002|pearl_charm:1
horse_do,GOLD:1200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,hoof_sabre:1|pearl_charm:50
horse_guardian,amber:1:15,mythic_sabre:0.008|pearl_charm:1
horse_guardsman,amber:1:5,hoof_sabre:0.02|pearl_charm:1
horse_sentry,amber:1:10,hoof_sabre:0.02|pearl_charm:1
horse_swordsman,amber:1:15,mythic_sabre:0.008|pearl_charm:1
huge_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
hunter_rat,rat_meat:1:34|amber:1:6,
ice_beast,ice_heart:1:100,
ice_ogre,tarnished_amber:1:17,
ice_panther,tarnished_amber:1:15,
iron_panda,bears_liver:1:34|iron_key:1:2.5,
iron_tiger,iron_key:1:2.5,tiger_meat:10|tigers_heart:34
island_lobster,seaweed:1:34|amber:1:10,
killer_mongrel,,white_amber:1.25|dark_amber:2.5
killer_rat,rat_meat:1:34|amber:1:5,
knap,splendid_tiger_pelt:1:1|dark_amber:1:2.5,
lake_winny,horse_meat:1:34|dark_amber:1:2.5,
large_bull,amber:1:2.5,lean_beef:17|beef:34
large_centipede,topaz:1:20,
large_hare,rabbit_meat:1:67,
lava_fox,fox_fur:1:34,
lava_rat,rat_meat:1:34|amber:1:6,
lava_snake,fine_snake_meat:1:5|amber:1:2.5,
lesser_ghost,muddy_potion:1:5,dark_amber:2.5|amber:1.25
lesser_skeleton,,dark_amber:2.5|amber:4
li,dark_amber:1:5|muddy_potion:1:5|steel_dagger:1:1,
lightning_wolf,amethyst:1:25,
lobster,amber:1:10,
log_ogre,hamgyong_gem_fragment:1:67,
mad_dog,,dark_amber:1.25|amber:2.5
mad_hare,amber:1:8.75,
mad_rabbit,amber:1:7.5|rabbit_meat:1:34,
man_shik_raven,dark_amber:1:7.5,
marsh_ogre,,dark_amber:5|tarnished_amber:17
massive_scorpion,dark_amber:1:67,bekyuns_spear:34
mature_dragon,tarnished_amber:1:25,
meter_worm,fine_snake_meat:1:5|dark_amber:1:2.5,
mighty_mouse,GOLD:1000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,cursed_staff:5|ambrosia:50
mighty_wyrm,tarnished_amber:1:25,
monkey_avenger,GOLD:2600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,sun_helmet:0.834|battle_helm:50
monkey_basher,GOLD:1300:100|amber:5:100|dark_amber:3:67|white_amber:1:34,moon_helmet:1.67|battle_helm:50
monkey_defender,,sun_helmet:0.0167|battle_helm:1|white_amber:5|dark_amber:10
monkey_guardian,,moon_helmet:0.034|battle_helm:1|white_amber:5|dark_amber:10
monkey_mauler,GOLD:600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,star_helmet:5|battle_helm:50
monkey_sentry,white_amber:1:10,star_helmet:0.1|battle_helm:1
monsterous_monkey,,white_amber:2.5|dark_amber:7.5
mouse,rat_meat:1:34,
muck_ogre,,titanium_lance:8|whisper_bracelet:8
mud_bull,beef:1:67,
mud_rat,rat_meat:1:34|amber:1:6,
mud_snake,snake_meat:2:85,
mythic_boar,GOLD:1700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_mountain:100
mythic_dog,GOLD:600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_wind:100
mythic_dragon,GOLD:2400:100|amber:5:100|dark_amber:3:67|white_amber:1:34,chung_ryong_key:50
mythic_hare,GOLD:500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_earth:100
mythic_horse,GOLD:1200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_thunder:100
mythic_monkey,GOLD:600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_fire:100
mythic_mouse,rat_meat:1:34|amber:1:5,
mythic_ox,GOLD:1500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_water:100
mythic_rat,GOLD:1000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_pond:100
mythic_rooster,GOLD:800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_heaven:100
mythic_sheep,GOLD:2400:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ju_jak_key:50
mythic_snake,GOLD:1200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,hyun_moo_key:50
mythic_tiger,GOLD:2700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,baekho_key:50
nine_tailed_fox,,fox_tail:25|fox_blade:75
northern_ogre,tarnished_amber:1:17,
obese_pig,rare_pork:1:34|dark_amber:1:2.5,
ogre_citelam,white_amber:1:18,light_sword:10
ogre_explorer,,dark_amber:5|tarnished_amber:17
ogre_maletic,white_amber:1:18,dark_dagger:10
old_dragon,tarnished_amber:1:25,
ox_avenger,GOLD:5500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,stone_axe:0.1|scribes_pen:50
ox_charger,GOLD:3000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,might_spear:0.4|scribes_pen:50
ox_defender,,stone_axe:0.002|scribes_pen:1
ox_gorer,GOLD:1500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,military_fork:1|scribes_pen:50
ox_guardian,,might_spear:0.008|scribes_pen:1
ox_sentry,,military_fork:0.02|scribes_pen:1
pale_dog,,dark_amber:1.25|amber:2.5
pale_hunger,lean_beef:1:34|amber:1:2.5,
pale_scorpion,amber:1:17,
pale_zombie,amber:1:2.5,aqua_potion:2|muddy_potion:5
pig_avenger,GOLD:7000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,magical_dust:50
pig_champion,GOLD:3700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,magical_dust:50
pig_guardian,,magical_dust:1|white_amber:5|dark_amber:15
plain_monkey,amber:1:2.5,
plain_snake,,fine_snake_meat:5|snake_meat:34
polar_bear,bears_liver:1:6,
quick_monkey,amber:1:7.5,
rabbit,rabbit_meat:1:67,
rabbit_avenger,GOLD:2200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,sun_helm:0.834|lucky_coin:50
rabbit_defender,fine_rabbit_meat:1:35,sun_helm:0.0167|lucky_coin:1
rabbit_guardian,fine_rabbit_meat:1:35,moon_helm:0.034|lucky_coin:1
rabbit_sentry,amber:1:35|fine_rabbit_meat:1:25,star_helm:0.1|lucky_coin:1
rabbit_witch,GOLD:1100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,moon_helm:1.67|lucky_coin:50
radiant_chick,,egg:17|chicken_meat:34
radiant_scorpion,amber:1:7.5,
radiant_snake,,fine_snake_meat:5|snake_meat:34
radiant_spider,amber:1:5,
raging_bull,amber:1:2.5,lean_beef:17|beef:34
raging_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
rampaging_bull,lean_beef:1:34|amber:1:2.5,
rat,rat_meat:1:34|ginseng_piece:1:17,
rat_avenger,GOLD:3700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,forsaken_staff:0.834|ambrosia:50
rat_defender,white_amber:1:15,forsaken_staff:0.0167|ambrosia:1
rat_guardian,amber:1:15,corrupted_staff:0.05|ambrosia:1
rat_lord,GOLD:2100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,corrupted_staff:2.5|ambrosia:50
rat_sentry,amber:1:15,cursed_staff:0.1|ambrosia:1
raven,amber:1:15,
red_chick,,egg:34|chicken_meat:67
red_hare,rabbit_meat:1:67,
red_rabbit,rabbit_meat:1:67,
red_sheep,wool:1:25|amber:1:2.5,
restless_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
rock_lobster,yellow_amber:1:2,
rooster_avenger,GOLD:3300:100|amber:5:100|dark_amber:3:67|white_amber:1:34,forsaken_ring:1.67|tao_stone:50|ambrosia:1.67
rooster_barbarian,GOLD:1800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,corrupted_ring:5|tao_stone:50|ambrosia:5
rooster_defender,amber:1:20,forsaken_ring:1|tao_stone:0.034|ambrosia:1
rooster_guardian,white_amber:1:5,corrupted_ring:0.1|tao_stone:1|ambrosia:1
rooster_sentry,white_amber:1:15,cursed_ring:0.2|tao_stone:1|ambrosia:1
rooster_swordsman,GOLD:800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,cursed_ring:10|tao_stone:50
sand_lobster,yellow_amber:1:1,
seki,tarnished_amber:1:10|muddy_potion:1:5,
serpentine_dragon,tarnished_amber:1:25,
shadow_mantis,white_amber:1:5,star_staff:8|titanium_glove:8
sheep,wool:1:80,
sheep_avenger,GOLD:9000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ee_san_surge:0.834|lucky_silver_coin:50
sheep_defender,,ee_san_surge:0.0167|lucky_silver_coin:1
sheep_guardian,,il_san_surge:0.034|lucky_silver_coin:1
sheep_sentry,,surge:0.1|lucky_silver_coin:1
sheep_shepherd,GOLD:5500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,il_san_surge:1.67|lucky_silver_coin:50
sheep_veteran,GOLD:2400:100|amber:5:100|dark_amber:3:67|white_amber:1:34,surge:5|lucky_silver_coin:30
simple_monkey,amber:1:7.5,
simple_snake,fine_snake_meat:1:5|amber:1:2.5,
sintu,dark_amber:1:67,forest_diamond:8
skeleton_ja,dark_amber:1:5,
skeleton_je,dark_amber:1:5,
skeleton_ji,dark_amber:1:5,
skeleton_ju,,bone:34
skeleton_mage,,wicked_staff:75
skeleton_sa,,scorched_bone:34
skeleton_warrior,,maxcaliber:75
skilled_horse,horse_meat:1:34|amber:1:2.5,
sleet_king,angels_tear:1:100,dark_amber:34|amber:67
sleet_ogre,amber:1:5,stardrop:5
slime_ogre,,electra:8|holy_ring:8
slitherly,fine_snake_meat:1:5|dark_amber:1:2.5,
slush_king,amber:1:67,stardrop:100
slush_ogre,amber:1:5,stardrop:1
sly_monkey,amber:1:5,
snake,snake_meat:2:100,
snake_avenger,GOLD:8000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ee_san_charm:0.834|scribes_book:50
snake_defender,,ee_san_charm:0.0167|scribes_book:1|holy_ring:1
snake_guardian,,il_san_charm:0.034|scribes_book:1|holy_ring:1
snake_mage,GOLD:3000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,il_san_charm:1.67|scribes_book:50
snake_sentry,,charm:0.1|scribes_book:1|holy_ring:1
snake_shaman,GOLD:1200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,charm:5|scribes_book:50
snow_king,giasomo_stick:1:34,dark_amber:34|amber:67
snow_ogre,amber:1:5,stardrop:2.5
snow_rabbit,rabbit_meat:1:67,
southern_ogre,,dark_amber:5|tarnished_amber:17
spasm,fine_snake_meat:1:5|dark_amber:1:2.5,
spirit_dog,GOLD:3100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_wind:100
spirit_dragon,GOLD:12000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,chung_ryong_key:50
spirit_horse,GOLD:4500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_thunder:100
spirit_monkey,GOLD:2600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_fire:100
spirit_mouse,rat_meat:1:34|amber:1:7.5,
spirit_ox,GOLD:5500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_water:100
spirit_pig,GOLD:7000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_mountain:100
spirit_rabbit,GOLD:2200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_earth:100
spirit_rat,GOLD:3700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_pond:100
spirit_rooster,GOLD:3300:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_heaven:100
spirit_sheep,GOLD:9000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ju_jak_key:50
spirit_snake,GOLD:8000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,hyun_moo_key:50
spirit_tiger,GOLD:5000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,baekho_key:50
spirited_horse,horse_meat:1:34|amber:1:2.5,
spotted_mutt,dark_amber:1:2.5,
spry_monkey,amber:1:7.5,
spunky_dog,amber:1:2.5,
spunky_monkey,dark_amber:1:10,
squirrel,acorn:1:50|acorn:2:33|acorn:3:15|acorn:50:1|gold_acorn:1:1,
sting,,yellow_amber:20
stone_ogre,,dark_amber:5|tarnished_amber:17
storm_snake,fine_snake_meat:1:5|dark_amber:1:2.5,
stout_pig,rare_pork:1:34|dark_amber:1:2.5,
stout_piglet,rare_pork:1:34|dark_amber:1:2.5,
stout_warthog,rare_pork:1:34|dark_amber:1:2.5,
strange_thing,,big_axe:1|crystal:75
stubborn_pig,rare_pork:1:34|dark_amber:1:2.5,
stubborn_piglet,rare_pork:1:34|dark_amber:1:2.5,
stubborn_warthog,rare_pork:1:34|dark_amber:1:5,
sun_fox,light_fox_fur:1:34,
sunfeather,dark_amber:1:5,egg:17|chicken_meat:34
sute,sutes_key:1:100,
tempest_king,,dark_amber:34|amber:67
tempest_ogre,amber:1:12.5,
terrified_chicken,chicken_meat:1:67,
thump,dark_amber:1:8.5|fine_rabbit_meat:1:25,
tiger_avenger,GOLD:5000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ee_san_blood:0.834|purified_water:50
tiger_blizzard,dark_amber:1:67,wand_of_fire:2|winter_scepter:2|dark_scimitar:2|light_broadsword:2
tiger_defender,splendid_tiger_pelt:1:2|dark_amber:1:5,ee_san_blood:0.0167|purified_water:1
tiger_guardian,splendid_tiger_pelt:1:2|amber:1:5,il_san_blood:0.034|purified_water:1
tiger_night,dark_amber:1:67|white_amber:1:34,dark_scimitar:2|light_broadsword:2|wand_of_fire:2|winter_scepter:2
tiger_sentry,splendid_tiger_pelt:1:2|amber:1:5,blood:0.1|purified_water:1
tiger_slasher,GOLD:3800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,il_san_blood:1.67|purified_water:50
tiger_storm,white_amber:1:45,light_broadsword:2|wand_of_fire:2|winter_scepter:2|dark_scimitar:2
tiger_summit,white_amber:1:45,winter_scepter:2|dark_scimitar:2|light_broadsword:2|wand_of_fire:2
tiger_twostripes,GOLD:10000:100|white_amber:5:85,
tiger_warrior,GOLD:2700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,blood:5|purified_water:50
tough_fight,lean_beef:1:34|amber:1:2.5,
trapdoor_spider,amber:1:7.5,hunangs_axe:10
ugly_monkey,amber:1:7.5,
ugly_sheep,wool:1:20|amber:1:2.5,
vile_rat,rat_meat:1:34|amber:1:5,
vile_scorpion,amber:1:7.5,
warthog,rare_pork:1:67,
white_chicken,amber:1:5,egg:17|chicken_meat:34
white_rabbit,rabbit_meat:1:67,
white_rat,rat_meat:1:34,topaz:8|mica:17
white_rooster,amber:1:5,egg:17|chicken_meat:34
white_wolf,amethyst:1:20,
wicked_ghost,dark_amber:1:67,moonblade:34
wild_chick,dark_amber:1:5,egg:17|chicken_meat:34
wild_chicken,,egg:17|chicken_meat:34
wild_horse,horse_meat:1:34|amber:1:2.5,
wild_pig,rare_pork:1:67,
wild_piglet,rare_pork:1:67,
wild_rooster,,egg:17|chicken_meat:34
witch,amber:1:5|aqua_potion:1:5,
witch_shaman,dark_amber:1:67,deaths_head:34
wolf,wolf_meat:1:45,
wolf_kin,,white_amber:1.25|dark_amber:2.5
wooden_horse,horse_meat:1:34|dark_amber:1:2.5,
yachi,amber:1:7.5|muddy_potion:1:5,
young_dragon,tarnished_amber:1:25,
zangze_ogre,dark_amber:1:67,lazuline_diamond:8
zinte_ogre,dark_amber:1:67,azure_diamond:8
