Path,Level,CumExp
1,97,2370000000
1,98,2600000000
2,1,300
2,2,600
2,3,900
2,4,1200
2,5,2100
2,6,2880
2,7,3840
2,8,4800
2,9,6720
2,10,8640
2,11,10560
2,12,14400
2,13,18240
2,14,22080
2,15,29760
2,16,37440
2,17,45120
2,18,60480
2,19,75840
2,20,91200
2,21,121920
2,22,152640
2,23,183360
2,24,244800
2,25,306240
2,26,367680
2,27,490560
2,28,613440
2,29,736320
2,30,916320
2,31,1096320
2,32,1276320
2,33,1522080
2,34,1767840
2,35,2013600
2,36,2373600
2,37,2733600
2,38,3093600
2,39,3486816
2,40,3880032
2,41,4273248
2,42,4849248
2,43,5425248
2,44,6001248
2,45,6787680
2,46,7574112
2,47,8360544
2,48,9512544
2,49,10664544
2,50,11816544
2,51,13127264
2,52,14437984
2,53,15748704
2,54,17668704
2,55,19588704
2,56,21508704
2,57,24708704
2,58,28908704
2,59,33108704
2,60,38228704
2,61,44348704
2,62,51468704
2,63,58124704
2,64,65780704
2,65,72436704
2,66,81089504
2,67,89742304
2,68,98395104
2,69,108000000
2,70,118000000
2,71,131000000
2,72,144000000
2,73,159000000
2,74,176000000
2,75,195000000
2,76,215000000
2,77,238000000
2,78,264000000
2,79,293000000
2,80,326000000
2,81,362000000
2,82,400000000
2,83,440000000
2,84,485000000
2,85,530000000
2,86,585000000
2,87,640000000
2,88,700000000
2,89,770000000
2,90,850000000
2,91,940000000
2,92,1040000000
2,93,1150000000
2,94,1270000000
2,95,1400000000
2,96,1550000000
2,97,1700000000
2,98,2000000000
3,1,300
3,2,600
3,3,900
3,4,1200
3,5,2150
3,6,3240
3,7,4320
3,8,5400
3,9,7560
3,10,9720
3,11,11880
3,12,16200
3,13,20520
3,14,24840
3,15,33480
3,16,42120
3,17,50760
3,18,68040
3,19,85320
3,20,102600
3,21,137160
3,22,171720
3,23,206280
3,24,275400
3,25,344520
3,26,413640
3,27,551880
3,28,690120
3,29,828360
3,30,1030860
3,31,1233360
3,32,1435860
3,33,1712340
3,34,1988820
3,35,2265300
3,36,2670300
3,37,3075300
3,38,3480300
3,39,3922668
3,40,4365036
3,41,4807404
3,42,5455404
3,43,6103404
3,44,6751404
3,45,7636140
3,46,8520876
3,47,9405612
3,48,10701612
3,49,11997612
3,50,13293612
3,51,14768172
3,52,16242732
3,53,17717292
3,54,19877292
3,55,22037292
3,56,24197292
3,57,27047292
3,58,31897292
3,59,36747292
3,60,42507292
3,61,49267292
3,62,57027292
3,63,65515292
3,64,73003292
3,65,81491292
3,66,91245646
3,67,100000000
3,68,115000000
3,69,133000000
3,70,154000000
3,71,180000000
3,72,210000000
3,73,245000000
3,74,280000000
3,75,330000000
3,76,380000000
3,77,440000000
3,78,505000000
3,79,575000000
3,80,650000000
3,81,730000000
3,82,820000000
3,83,915000000
3,84,1015000000
3,85,1120000000
3,86,1230000000
3,87,1340000000
3,88,1460000000
3,89,1580000000
3,90,1610000000
3,91,1740000000
3,92,1890000000
3,93,2050000000
3,94,2210000000
3,95,2380000000
3,96,2570000000
3,97,2770000000
3,98,2970000000
4,1,300
4,2,600
4,3,900
4,4,1200
4,5,2250
4,6,2940
4,7,4320
4,8,5400
4,9,7660
4,10,9720
4,11,11880
4,12,16200
4,13,20520
4,14,24840
4,15,33480
4,16,42100
4,17,50760
4,18,68040
4,19,85320
4,20,102600
4,21,137260
4,22,171720
4,23,206280
4,24,275400
4,25,344520
4,26,413640
4,27,551880
4,28,690120
4,29,828360
4,30,1030860
4,31,1233360
4,32,1376320
4,33,1522080
4,34,1767840
4,35,2265300
4,36,2670300
4,37,3075300
4,38,3480300
4,39,3922665
4,40,4365026
4,41,4807404
4,42,5455404
4,43,6103404
4,44,6751404
4,45,7636140
4,46,8520876
4,47,9405612
4,48,10701612
4,49,11997612
4,50,13293612
4,51,14768172
4,52,16242732
4,53,17717292
4,54,19877292
4,55,22037292
4,56,24197292
4,57,27542792
4,58,32397297
4,59,36747292
4,60,43007292
4,61,49767292
4,62,57527292
4,63,65515292
4,64,73503292
4,65,81491292
4,66,91044752
4,67,100871152
4,68,111697552
4,69,123595500
4,70,137795500
4,71,153500000
4,72,172000000
4,73,192000000
4,74,215500000
4,75,242500000
4,76,272500000
4,77,306500000
4,78,344500000
4,79,384000000
4,80,428000000
4,81,476000000
4,82,527500000
4,83,582500000
4,84,647000000
4,85,717000000
4,86,797000000
4,87,887500000
4,88,987500000
4,89,1087500000
4,90,1207500000
4,91,1390000000
4,92,1520000000
4,93,1650000000
4,94,1790000000
4,95,1835000000
4,96,1985000000
4,97,2135000000
4,98,2300000000
