Track,Name,Kind,Set,Notes
810,cave4,list,new,119 123 145 133 107 4 131 148 141 149
811,town4,list,new,117 103 135 108 119 149 123 116 121 136
812,town5,list,new,103 116 2 135 103 136 108 117 103 121
813,town6,list,new,103 116 117 2 137 103 2 116 117 137
814,cave5,list,new,145 133 131 3 149 145 133 149 131 3 — the darkest of the lists
870,town7,list,new,103 137 117 2 103 116 117 137 2 103
871,town8,list,new,117 2 103 117 116 2 137 103 116 103
872,town9,list,new,103 123 116 137 136 103 119 2 116 123
873,town10,list,new,116 136 108 119 2 103 121 117 103 123 — opens on THE POLE
880,field3,list,new,108 119 121 123 135 136 141 142 144 149
881,field4,list,new,119 121 117 137 142 144 149 108 136 123
882,field5,list,new,144 145 123 136 108 119 121 142 116 137
883,field6,list,new,145 149 135 121 144 108 142 121 137 141
890,cave6,list,new,144 136 121 3 131 145 133 123 142 107
891,cave7,list,new,4 107 131 133 145 3 121 136 142 148
892,cave8,list,new,121 145 133 136 131 4 3 107 148 145
893,cave9,list,new,3 145 136 149 144 123 4 107 131 148
901,town1-rand,shuffle,new,"the same ten tracks as 801, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
902,town2-rand,shuffle,new,"the same ten tracks as 802, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
903,town3-rand,shuffle,new,"the same ten tracks as 803, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
904,field1-rand,shuffle,new,"the same ten tracks as 804, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
905,field2-rand,shuffle,new,"the same ten tracks as 805, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
906,cave1-rand,shuffle,new,"the same ten tracks as 806, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
907,cave2-rand,shuffle,new,"the same ten tracks as 807, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
908,nexus-rand,shuffle,new,"the same ten tracks as 808, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
909,cave3-rand,shuffle,new,"the same ten tracks as 809, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
910,cave4-rand,shuffle,new,"the same ten tracks as 810, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
911,town4-rand,shuffle,new,"the same ten tracks as 811, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
912,town5-rand,shuffle,new,"the same ten tracks as 812, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
913,town6-rand,shuffle,new,"the same ten tracks as 813, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
914,cave5-rand,shuffle,new,"the same ten tracks as 814, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
970,town7-rand,shuffle,new,"the same ten tracks as 870, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
971,town8-rand,shuffle,new,"the same ten tracks as 871, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
972,town9-rand,shuffle,new,"the same ten tracks as 872, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
973,town10-rand,shuffle,new,"the same ten tracks as 873, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
980,field3-rand,shuffle,new,"the same ten tracks as 880, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
981,field4-rand,shuffle,new,"the same ten tracks as 881, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
982,field5-rand,shuffle,new,"the same ten tracks as 882, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
983,field6-rand,shuffle,new,"the same ten tracks as 883, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
990,cave6-rand,shuffle,new,"the same ten tracks as 890, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
991,cave7-rand,shuffle,new,"the same ten tracks as 891, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
992,cave8-rand,shuffle,new,"the same ten tracks as 892, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
993,cave9-rand,shuffle,new,"the same ten tracks as 893, entered at a random one. Audition only — a shuffled list eventually STALLS (see the Kind table in Content.LoadMusicTracks)"
