MobKey,Loot,RareLoot
tempest_king,,dark_amber:34|amber:67
cyclone_king,,dark_amber:34|amber:67
tiger_night,dark_amber:1:67|white_amber:1:34,dark_scimitar:2|light_broadsword:2|wand_of_fire:2|winter_scepter:2
tiger_storm,white_amber:1:45,light_broadsword:2|wand_of_fire:2|winter_scepter:2|dark_scimitar:2
tiger_blizzard,dark_amber:1:67,wand_of_fire:2|winter_scepter:2|dark_scimitar:2|light_broadsword:2
tiger_summit,white_amber:1:45,winter_scepter:2|dark_scimitar:2|light_broadsword:2|wand_of_fire:2
tiger_twostripes,GOLD:10000:100|white_amber:5:85,
golden_hare,amber:1:7.5|rabbit_meat:1:34,
mad_rabbit,amber:1:7.5|rabbit_meat:1:34,
giant_hare,amber:1:7.5|rabbit_meat:1:34,
rabbit_sentry,amber:1:35|fine_rabbit_meat:1:25,star_helm:0.1|lucky_coin:1
mythic_hare,GOLD:500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_earth:100
hare_witch,GOLD:500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,star_helm:5|lucky_coin:50
golden_rabbit,amber:1:8.75,
mad_hare,amber:1:8.75,
giant_rabbit,amber:1:8.75,
rabbit_guardian,fine_rabbit_meat:1:35,moon_helm:0.034|lucky_coin:1
divine_rabbit,GOLD:1100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_earth:100
rabbit_witch,GOLD:1100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,moon_helm:1.67|lucky_coin:50
hop,dark_amber:1:8.5|fine_rabbit_meat:1:25,
thump,dark_amber:1:8.5|fine_rabbit_meat:1:25,
fluff,dark_amber:1:10|fine_rabbit_meat:1:25,
rabbit_defender,fine_rabbit_meat:1:35,sun_helm:0.0167|lucky_coin:1
spirit_rabbit,GOLD:2200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_earth:100
rabbit_avenger,GOLD:2200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,sun_helm:0.834|lucky_coin:50
plain_monkey,amber:1:2.5,
sly_monkey,amber:1:5,
spry_monkey,amber:1:7.5,
ugly_monkey,amber:1:7.5,
monkey_sentry,white_amber:1:10,star_helmet:0.1|ambrosia:1
mythic_monkey,GOLD:600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_fire:100
monkey_mauler,GOLD:600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,star_helmet:5|ambrosia:50
simple_monkey,amber:1:7.5,
quick_monkey,amber:1:7.5,
agile_monkey,amber:1:10,
monsterous_monkey,,white_amber:2.5|dark_amber:7.5
monkey_guardian,,moon_helmet:0.034|ambrosia:1|white_amber:5|dark_amber:10
divine_monkey,GOLD:1300:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_fire:100
monkey_basher,GOLD:1300:100|amber:5:100|dark_amber:3:67|white_amber:1:34,moon_helmet:1.67|ambrosia:50
bright_monkey,dark_amber:1:10,
fast_monkey,dark_amber:1:10,
spunky_monkey,dark_amber:1:10,
diamond_monkey,,white_amber:5|dark_amber:10
monkey_defender,,sun_helmet:0.0167|ambrosia:1|white_amber:5|dark_amber:10
spirit_monkey,GOLD:2600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_fire:100
monkey_avenger,GOLD:2600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,sun_helmet:0.834|ambrosia:50
fierce_dog,amber:1:2.5,
fighting_dog,amber:1:2.5,
mad_dog,,dark_amber:1.25|amber:2.5
pale_dog,,dark_amber:1.25|amber:2.5
dog_sentry,amber:1:15|dark_amber:1:10,cursed_blade:0.1|fragile_rose:1
mythic_dog,GOLD:600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_wind:100
dog_assassin,GOLD:600:100|amber:5:100|dark_amber:3:67|white_amber:1:34,cursed_blade:5|fragile_rose:50
dog_trooper,amber:1:2.5,
crazed_mongrel,amber:1:2.5,
spunky_dog,amber:1:2.5,
death_mongrel,amber:1:2.5,
dog_guardian,amber:1:25|white_amber:1:10,corrupted_blade:0.05|fragile_rose:1
divine_dog,GOLD:1800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_wind:100
dog_cutthroat,GOLD:1800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,corrupted_blade:2.5|fragile_rose:50
spotted_mutt,dark_amber:1:2.5,
frothing_mutt,dark_amber:1:2.5,
killer_mongrel,,white_amber:1.25|dark_amber:2.5
wolf_kin,,white_amber:1.25|dark_amber:2.5
dog_defender,amber:1:10|white_amber:1:5,forsaken_blade:0.0167|fragile_rose:1
spirit_dog,GOLD:3100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_wind:100
dog_avenger,GOLD:3100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,forsaken_blade:0.834|fragile_rose:50
black_chick,,egg:17|chicken_meat:34
wild_chicken,,egg:17|chicken_meat:34
wild_rooster,,egg:17|chicken_meat:34
radiant_chick,,egg:17|chicken_meat:34
rooster_sentry,white_amber:1:15,cursed_ring:0.2|scribes_pen:1
mythic_rooster,GOLD:800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_heaven:100
rooster_swordsman,GOLD:800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,cursed_ring:10|scribes_pen:50
red_chick,,egg:34|chicken_meat:67
fiery_chick,,egg:17|chicken_meat:34
white_chicken,amber:1:5,egg:17|chicken_meat:34
white_rooster,amber:1:5,egg:17|chicken_meat:34
rooster_guardian,white_amber:1:5,corrupted_ring:0.1|scribes_pen:1
divine_rooster,GOLD:1800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_heaven:100
rooster_barbarian,GOLD:1800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,corrupted_ring:5|scribes_pen:50
wild_chick,dark_amber:1:5,egg:17|chicken_meat:34
black_chicken,dark_amber:1:5,egg:17|chicken_meat:34
great_roost,dark_amber:1:5,egg:17|chicken_meat:34
sunfeather,dark_amber:1:5,egg:17|chicken_meat:34
rooster_defender,amber:1:20,forsaken_ring:1|scribes_pen:0.034
spirit_rooster,GOLD:3300:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_heaven:100
rooster_avenger,GOLD:3300:100|amber:5:100|dark_amber:3:67|white_amber:1:34,forsaken_ring:1.67|scribes_pen:50
mythic_mouse,rat_meat:1:34|amber:1:5,
vile_rat,rat_meat:1:34|amber:1:5,
blood_rat,rat_meat:1:34|amber:1:5,
killer_rat,rat_meat:1:34|amber:1:5,
rat_sentry,amber:1:15,cursed_staff:0.1|battle_helm:1
mythic_rat,GOLD:1000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_pond:100
mighty_mouse,GOLD:1000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,cursed_staff:5|battle_helm:50
divine_mouse,rat_meat:1:34|amber:1:6,
mud_rat,rat_meat:1:34|amber:1:6,
hunter_rat,rat_meat:1:34|amber:1:6,
lava_rat,rat_meat:1:34|amber:1:6,
rat_guardian,amber:1:15,corrupted_staff:0.05|battle_helm:1
divine_rat,GOLD:2100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_pond:100
rat_lord,GOLD:2100:100|amber:5:100|dark_amber:3:67|white_amber:1:34,corrupted_staff:2.5|battle_helm:50
spirit_mouse,rat_meat:1:34|amber:1:7.5,
earth_rat,rat_meat:1:34|amber:1:7.5,
fire_rat,rat_meat:1:34|amber:1:7.5,
beady_eyed_stalker,rat_meat:1:34|amber:1:7.5,
rat_defender,white_amber:1:15,forsaken_staff:0.0167|battle_helm:1
spirit_rat,GOLD:3700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_pond:100
rat_avenger,GOLD:3700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,forsaken_staff:0.834|battle_helm:50
wild_horse,horse_meat:1:34|amber:1:2.5,
skilled_horse,horse_meat:1:34|amber:1:2.5,
elite_horse,horse_meat:1:34|amber:1:2.5,
horse_guardsman,amber:1:5,
horse_guardsman,amber:1:5,hoof_sabre:0.02|pearl_charm:1
horse_sentry,amber:1:5,
horse_sentry,amber:1:10,hoof_sabre:0.02|pearl_charm:1
mythic_horse,GOLD:1200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_thunder:100
horse_do,GOLD:1200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,hoof_sabre:1|pearl_charm:50
spirited_horse,horse_meat:1:34|amber:1:2.5,
golden_horse,horse_meat:1:34|amber:1:2.5,
diamond_horse,horse_meat:1:34|amber:1:2.5,
horse_swordsman,amber:1:7.5,
horse_swordsman,amber:1:15,mythic_sabre:0.008|pearl_charm:1
horse_guardian,amber:1:7.5,
horse_guardian,amber:1:15,mythic_sabre:0.008|pearl_charm:1
divine_horse,GOLD:2700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_thunder:100
horse_chongun,GOLD:2700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,mythic_sabre:0.4|pearl_charm:50
wooden_horse,horse_meat:1:34|dark_amber:1:2.5,
lake_winny,horse_meat:1:34|dark_amber:1:2.5,
fire_snorter,horse_meat:1:34|dark_amber:1:2.5,
hooves,dark_amber:1:5,
hooves,dark_amber:1:10,flameblade:0.002|pearl_charm:1
horse_defender,dark_amber:1:5,
horse_defender,dark_amber:1:10,flameblade:0.002|pearl_charm:1
spirit_horse,GOLD:4500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_thunder:100
horse_avenger,GOLD:4500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,flameblade:0.1|pearl_charm:50
large_bull,amber:1:2.5,lean_beef:17|beef:34
raging_bull,amber:1:2.5,lean_beef:17|beef:34
charging_ox,amber:1:2.5,lean_beef:17|beef:34
ox_sentry,,military_fork:0.02|tao_stone:1
mythic_ox,GOLD:1500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_water:100
ox_gorer,GOLD:1500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,military_fork:1|tao_stone:50
giant_bull,lean_beef:1:34|amber:1:2.5,
rampaging_bull,lean_beef:1:34|amber:1:2.5,
angry_ox,lean_beef:1:34|amber:1:2.5,
ox_guardian,,might_spear:0.008|tao_stone:1
divine_ox,GOLD:3000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_water:100
ox_charger,GOLD:3000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,might_spear:0.4|tao_stone:50
great_horns,lean_beef:1:34|amber:1:2.5,
pale_hunger,lean_beef:1:34|amber:1:2.5,
tough_fight,lean_beef:1:34|amber:1:2.5,
ox_defender,,stone_axe:0.002|tao_stone:1
spirit_ox,GOLD:5500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_water:100
ox_avenger,GOLD:5500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,stone_axe:0.1|tao_stone:50
stubborn_piglet,rare_pork:1:34|dark_amber:1:2.5,
stubborn_pig,rare_pork:1:34|dark_amber:1:2.5,
fat_pig,rare_pork:1:34|dark_amber:1:2.5,
stubborn_warthog,rare_pork:1:34|dark_amber:1:5,
boar_sentry,,dark_staff:0.04|magical_dust:1|white_amber:5|dark_amber:15
mythic_boar,GOLD:1700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_mountain:100
boar_champion,GOLD:1700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,dark_staff:2|magical_dust:50
stout_piglet,rare_pork:1:34|dark_amber:1:2.5,
stout_pig,rare_pork:1:34|dark_amber:1:2.5,
obese_pig,rare_pork:1:34|dark_amber:1:2.5,
stout_warthog,rare_pork:1:34|dark_amber:1:2.5,
pig_guardian,,magical_dust:1|white_amber:5|dark_amber:15
divine_pig,GOLD:3700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_mountain:100
pig_champion,GOLD:3700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,magical_dust:50
bold_piglet,rare_pork:1:34|white_amber:1:2.5,
bold_pig,rare_pork:1:34|white_amber:1:2.5,
bold_hog,rare_pork:1:34|white_amber:1:2.5,
bold_boar,rare_pork:1:34|white_amber:1:2.5,
boar_defender,pork:1:67,magical_dust:1|white_amber:10
spirit_pig,GOLD:7000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,key_to_mountain:100
pig_avenger,GOLD:7000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,magical_dust:50
plain_snake,,fine_snake_meat:5|snake_meat:34
blood_snake,,fine_snake_meat:5|snake_meat:34
radiant_snake,,fine_snake_meat:5|snake_meat:34
fire_snake,,fine_snake_meat:17|snake_meat:34
snake_sentry,,charm:0.1|scribes_book:1
mythic_snake,,hyun_moo_key:50
snake_shaman,GOLD:1200:100|amber:5:100|dark_amber:3:67|white_amber:1:34,charm:5|scribes_book:50
simple_snake,fine_snake_meat:1:5|amber:1:2.5,
lava_snake,fine_snake_meat:1:5|amber:1:2.5,
glowing_snake,fine_snake_meat:1:5|amber:1:2.5,
dark_snake,fine_snake_meat:1:5|amber:1:2.5,
snake_guardian,,il_san_charm:0.034|scribes_book:1
divine_snake,,hyun_moo_key:50
snake_mage,GOLD:3000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,il_san_charm:1.67|scribes_book:50
meter_worm,fine_snake_meat:1:5|dark_amber:1:2.5,
spasm,fine_snake_meat:1:5|dark_amber:1:2.5,
slitherly,fine_snake_meat:1:5|dark_amber:1:2.5,
storm_snake,fine_snake_meat:1:5|dark_amber:1:2.5,
snake_defender,,ee_san_charm:0.0167|scribes_book:1
spirit_snake,,hyun_moo_key:50
snake_avenger,GOLD:8000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ee_san_charm:0.834|scribes_book:50
fierce_sheep,wool:1:20|amber:1:2.5,
ugly_sheep,wool:1:20|amber:1:2.5,
sheep_sentry,,surge:0.1|lucky_silver_coin:1
mythic_sheep,GOLD:2400:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ju_jak_key:50
sheep_veteran,GOLD:2400:100|amber:5:100|dark_amber:3:67|white_amber:1:34,surge:5|lucky_silver_coin:30
black_sheep,wool:1:25|amber:1:2.5,
red_sheep,wool:1:25|amber:1:2.5,
sheep_guardian,,il_san_surge:0.034|lucky_silver_coin:1
divine_sheep,GOLD:5500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ju_jak_key:50
sheep_shepherd,GOLD:5500:100|amber:5:100|dark_amber:3:67|white_amber:1:34,il_san_surge:1.67|lucky_silver_coin:50
flaming_sheep,wool:1:30|white_amber:1:2.5,
dark_sheep,wool:1:30|white_amber:1:2.5,
sheep_defender,,ee_san_surge:0.0167|lucky_silver_coin:1
spirit_sheep,GOLD:9000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ju_jak_key:50
sheep_avenger,GOLD:9000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ee_san_surge:0.834|lucky_silver_coin:50
restless_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
golden_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
dark_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
giant_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
tiger_sentry,splendid_tiger_pelt:1:2|amber:1:5,blood:0.1|purified_water:1
mythic_tiger,GOLD:2700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,baekho_key:50
tiger_warrior,GOLD:2700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,blood:5|purified_water:50
raging_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
black_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
huge_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
tiger_guardian,splendid_tiger_pelt:1:2|amber:1:5,il_san_blood:0.034|purified_water:1
divine_tiger,GOLD:3800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,baekho_key:50
tiger_slasher,GOLD:3800:100|amber:5:100|dark_amber:3:67|white_amber:1:34,il_san_blood:1.67|purified_water:50
brazen,splendid_tiger_pelt:1:1|dark_amber:1:2.5,
knap,splendid_tiger_pelt:1:1|dark_amber:1:2.5,
crazy_claw,splendid_tiger_pelt:1:1|dark_amber:1:2.5,
tiger_defender,splendid_tiger_pelt:1:2|dark_amber:1:5,ee_san_blood:0.0167|purified_water:1
spirit_tiger,GOLD:5000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,baekho_key:50
tiger_avenger,GOLD:5000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ee_san_blood:0.834|purified_water:50
drake,tarnished_amber:1:25,
dragon_hatchling,tarnished_amber:1:25,
young_dragon,tarnished_amber:1:25,
dragon_sentry,,spike:0.1|dragons_liver:1
mythic_dragon,GOLD:2400:100|amber:5:100|dark_amber:3:67|white_amber:1:34,chung_ryong_key:50
dragon_mage,GOLD:2400:100|amber:5:100|dark_amber:3:67|white_amber:1:34,spike:5|dragons_liver:50
ancient_drake,tarnished_amber:1:25,
adolescent_dragon,tarnished_amber:1:25,
mature_dragon,tarnished_amber:1:25,
serpentine_dragon,tarnished_amber:1:25,
dragon_guardian,,il_san_spike:0.034|dragons_liver:1
divine_dragon,GOLD:2750:100|amber:5:100|dark_amber:3:67|white_amber:1:34,chung_ryong_key:50
dragon_slayer,GOLD:2750:100|amber:5:100|dark_amber:3:67|white_amber:1:34,il_san_spike:1.67|dragons_liver:50
great_wyrm,tarnished_amber:1:25,
mighty_wyrm,tarnished_amber:1:25,
old_dragon,tarnished_amber:1:25,
dragon_defender,dark_amber:1:15|white_amber:1:5,ee_san_spike:0.0167|dragons_liver:1
spirit_dragon,GOLD:12000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,chung_ryong_key:50
dragon_avenger,GOLD:12000:100|amber:5:100|dark_amber:3:67|white_amber:1:34,ee_san_spike:0.834|dragons_liver:50
black_skeleton,dark_amber:1:5,
skeleton_je,dark_amber:1:5,
skeleton_ja,dark_amber:1:5,
skeleton_ji,dark_amber:1:5,
skeleton_sa,,scorched_bone:34
polar_bear,bears_liver:1:6,
death_wish,dark_amber:1:34|white_amber:1:17,ice_sabre:34
cotw_panda_bear,bears_liver:1:20,
