Tier,Key,DisplayName,Mobs,MinLevel,MaxLevel,MinStat,MaxStat,MinMark,MaxMark
Minor,mythic_rooster,Mythic rooster,black_chick|wild_chicken|wild_rooster|radiant_chick|red_chick|fiery_chick|white_chicken|white_rooster|wild_chick|black_chicken|great_roost|sunfeather,46,100,0,1000000000,0,2
Minor,rabbit_leader,Rabbit leader,mythic_hare|hare_witch|divine_rabbit|rabbit_witch|spirit_rabbit|rabbit_avenger,25,100,0,1000000000,0,5
Minor,monkey_leader,Monkey leader,mythic_monkey|monkey_mauler|divine_monkey|monkey_basher|spirit_monkey|monkey_avenger,32,100,0,1000000000,0,5
Minor,dog_leader,Dog leader,mythic_dog|dog_assassin|divine_dog|dog_cutthroat|spirit_dog|dog_avenger,36,100,0,1000000000,0,5
Minor,rooster_leader,Rooster leader,mythic_rooster|rooster_swordsman|divine_rooster|rooster_barbarian|spirit_rooster|rooster_avenger,46,100,0,1000000000,0,5
Minor,pale_zombie,Pale zombie,pale_zombie,36,100,0,14999,0,5
Minor,lesser_ghost,Lesser ghost,lesser_ghost,36,100,0,14999,0,5
Minor,vile_scorpion,Vile scorpion,vile_scorpion,50,100,0,59999,0,5
Minor,radiant_scorpion,Radiant scorpion,radiant_scorpion,60,100,0,1000000000,0,5
Minor,giant_scorpion,Giant scorpion,giant_scorpion,50,100,0,59999,0,5
Minor,pale_scorpion,Pale scorpion,pale_scorpion,60,100,0,1000000000,0,5
Minor,lesser_skeleton,Lesser skeleton,lesser_skeleton,50,100,0,1000000000,0,5
Minor,black_skeleton,Black skeleton,black_skeleton,60,100,0,1000000000,0,2
Minor,skeleton_je,Skeleton Je,skeleton_je,70,100,0,1000000000,0,3
Minor,skeleton_ja,Skeleton Ja,skeleton_ja,80,100,0,1000000000,0,4
Minor,skeleton_ji,Skeleton Ji,skeleton_ji,90,100,0,1000000000,0,5
Minor,mythic_rat,Mythic rat,mythic_mouse|vile_rat|blood_rat|killer_rat|divine_mouse|mud_rat|hunter_rat|lava_rat|spirit_mouse|earth_rat|fire_rat|beady_eyed_stalker,53,100,0,1000000000,0,3
Minor,mythic_horse,Mythic horse,wild_horse|skilled_horse|elite_horse|horse_guardsman|spirited_horse|horse_swordsman|diamond_horse|golden_horse|wooden_horse|lake_winny|fire_snorter|hooves,60,100,0,1000000000,0,3
Minor,mythic_ox,Mythic ox,large_bull|raging_bull|charging_ox|giant_bull|rampaging_bull|angry_ox|great_horns|pale_hunger|tough_fight,67,100,0,1000000000,0,3
Minor,mythic_pig,Mythic pig,stubborn_piglet|stubborn_pig|fat_pig|stubborn_warthog|stout_piglet|stout_pig|obese_pig|stout_warthog|bold_piglet|bold_pig|bold_hog|bold_boar,74,100,0,1000000000,0,3
Minor,deep_woods_mantis,Deep woods mantis,deep_woods_mantis,65,100,0,1000000000,0,1
Minor,grim_ogre,Grim ogre,grim_ogre,70,100,0,1000000000,0,1
Minor,southern_ogre,Southern ogre,southern_ogre,90,100,0,1000000000,0,2
Minor,hail_ogre,Hail ogre,hail_ogre,80,100,0,1000000000,0,5
Minor,flurry_ogre,Flurry ogre,flurry_ogre,99,100,0,1000000000,0,5
Minor,blizzard_ogre,Blizzard ogre,blizzard_ogre,99,100,15000,1000000000,0,5
Minor,mythic_snake,Mythic snake,plain_snake|blood_snake|radiant_snake|fire_snake|simple_snake|lava_snake|glowing_snake|dark_snake|meter_worm|spasm|slitherly|storm_snake,81,100,0,1000000000,0,5
Minor,mythic_sheep,Mythic sheep,fierce_sheep|ugly_sheep|black_sheep|red_sheep|flaming_sheep|dark_sheep,88,100,0,1000000000,0,5
Minor,mythic_tiger,Mythic tiger,restless_tiger|golden_tiger|dark_tiger|giant_tiger|raging_tiger|black_tiger|huge_tiger|brazen|knap|crazy_claw,95,100,0,1000000000,0,5
Minor,mythic_dragon,Mythic dragon,drake|dragon_hatchling|young_dragon|ancient_drake|adolescent_dragon|mature_dragon|serpentine_dragon|great_wyrm|mighty_wyrm|old_dragon,99,100,0,1000000000,0,5
Minor,northern_ogre,Northern Ogre,northern_ogre,85,100,0,1000000000,0,5
Minor,frost_ogre,Frost Ogre,frost_ogre,85,100,0,1000000000,0,5
Minor,forest_mantis,Forest mantis,forest_mantis,99,100,0,1000000000,0,5
Minor,dark_mantis,Dark mantis,dark_mantis,99,100,0,1000000000,0,5
Minor,ghost_mantis,Ghost mantis,ghost_mantis,99,100,0,1000000000,0,5
Minor,hill_ogre,Hill ogre,hill_ogre,99,100,0,1000000000,0,5
Minor,marsh_ogre,Marsh ogre,marsh_ogre,99,100,0,1000000000,0,5
Major,bat,Bat,bat|big_bat,1,20,0,1000000000,0,5
Major,blood_wolf,Blood wolf,blood_wolf,10,41,0,1000000000,0,5
Major,black_buck,Black buck,black_buck,10,41,0,1000000000,0,5
Major,warthog,Warthog,warthog,14,35,0,1000000000,0,5
Major,albino_buck,Albino Buck,albino_buck,20,41,0,1000000000,0,5
Major,white_wolf,White wolf,white_wolf,20,41,0,1000000000,0,5
Major,lightning_wolf,Lightning wolf,lightning_wolf,20,41,0,1000000000,0,5
Major,wicked_ghost,Wicked ghost,wicked_ghost,36,62,0,1000000000,0,5
Major,witch_shaman,Witch shaman,witch_shaman,36,62,0,1000000000,0,5
Major,scorpion_lurker,Scorpion lurker,scorpion_lurker,42,83,0,1000000000,0,5
Major,trapdoor_spider,Trapdoor spider,trapdoor_spider,42,83,0,1000000000,0,5
Major,massive_scorpion,Massive scorpion,massive_scorpion,42,83,0,1000000000,0,5
Major,rat_leader,Rat leader,mythic_rat|mighty_mouse|divine_rat|rat_lord|spirit_rat|rat_avenger,53,100,0,1000000000,0,5
Major,horse_leader,Horse leader,mythic_horse|horse_do|divine_horse|horse_chongun|spirit_horse|horse_avenger,60,100,0,1000000000,0,5
Major,ox_leader,Ox leader,mythic_ox|ox_gorer|divine_ox|ox_charger|spirit_ox|ox_avenger,67,100,0,1000000000,0,5
Major,pig_leader,Pig leader,mythic_boar|boar_champion|divine_pig|pig_champion|spirit_pig|pig_avenger,74,100,0,1000000000,0,5
Major,shadow_mantis,Shadow mantis,shadow_mantis,63,100,0,1000000000,0,2
Major,dirt_mantis,Dirt mantis,dirt_mantis,63,100,0,1000000000,0,2
Major,sting,Sting,sting,63,100,0,1000000000,0,1000000000
Major,slime_ogre,Slime ogre,slime_ogre,63,100,0,1000000000,0,2
Major,muck_ogre,Muck ogre,muck_ogre,63,100,0,1000000000,0,2
Major,hail_king,Hail king,hail_king,65,100,0,1000000000,0,2
Major,flurry_king,Flurry king,flurry_king,80,100,0,1000000000,0,3
Major,blizzard_king,Blizzard king,blizzard_king,95,100,0,1000000000,0,5
Major,golden_lobster,Golden lobster,golden_lobster,70,100,0,1000000000,0,2
Major,ice_panther,Ice panther,ice_panther,84,100,0,1000000000,0,100
Major,chtan,Ch'tan,chtan,91,100,0,1000000000,0,5
Major,sintu,Sin-tu,sintu,91,100,0,1000000000,0,5
Major,zinte_ogre,Zin-te,zinte_ogre,91,100,0,1000000000,0,5
Major,zangze_ogre,Zangze,zangze_ogre,91,100,0,1000000000,0,5
Epic,blood_mantis,Blood Mantis,blood_mantis,9,48,0,1000000000,0,0
Epic,giant_mantis,Giant Mantis,giant_mantis,9,48,0,1000000000,0,0
Epic,golden_hare_wild,wild Golden hare,golden_hare_wild,20,100,0,1000000000,0,5
Epic,nine_tailed_fox,Nine-tailed fox,nine_tailed_fox,20,49,0,1000000000,0,5
Epic,gimyi,Gim Yi,gimyi,20,100,0,1000000000,0,5
Epic,crimson_scorpion,Crimson scorpion,crimson_scorpion,42,100,0,1000000000,0,5
Epic,skeleton_mage,Skeleton mage,skeleton_mage,49,100,0,1000000000,0,5
Epic,skeleton_warrior,Skeleton warrior,skeleton_warrior,49,100,0,1000000000,0,5
Epic,skeleton_ju,Skeleton Ju,skeleton_ju,49,100,0,1000000000,0,5
Epic,skeleton_sa,Skeleton Sa,skeleton_sa,50,100,0,1000000000,0,5
Epic,dark_mantis,Dark mantis,dark_mantis,63,90,0,1000000000,0,5
Epic,hill_ogre,Hill ogre,hill_ogre,63,90,0,1000000000,0,5
Epic,log,Log,log,63,100,0,1000000000,0,5
Epic,deathwish,Deathwish,deathwish,80,100,0,1000000000,0,5
Epic,snake_leader,Snake leader,mythic_snake|snake_shaman|divine_snake|snake_mage|spirit_snake|snake_avenger,81,100,0,1000000000,0,5
Epic,sheep_leader,Sheep leader,mythic_sheep|sheep_veteran|divine_sheep|sheep_shepherd|spirit_sheep|sheep_avenger,88,100,0,1000000000,0,5
Epic,tiger_leader,Tiger leader,mythic_tiger|tiger_warrior|divine_tiger|tiger_slasher|spirit_tiger|tiger_avenger,95,100,0,1000000000,0,5
Epic,dragon_leader,Dragon leader,mythic_dragon|dragon_mage|divine_dragon|dragon_slayer|spirit_dragon|dragon_avenger,99,100,0,1000000000,0,5
Epic,maletic,Maletic,ogre_maletic,84,100,0,1000000000,0,5
Epic,citelam,Citelam,ogre_citelam,84,100,0,1000000000,0,5
